"Parse %","Name","Amount","Overheal","Active","HPS","rHPS",""
"99","Schivaah Brahma","17731284$32.55%17.73m","19.89%","72.25%","38,152.8","37,852.2",""
"97","Kosaki Minami","14953504$27.45%14.95m","32.68%","26.93%","32,175.8","30,960.1",""
"99","Boris Mouchakov","7776694$14.27%7.78m","17.71%","36.04%","16,733.3","16,585.2",""
"99","Fyreld Aryze","6032996$11.07%6.03m","14.70%","68.87%","12,981.3","13,027.9",""
"99","Nailyl Eon","2950896$5.42%2.95m","18.41%","8.36%","6,349.5","6,177.8",""
"99","Emelyne Wavier","2900361$5.32%2.90m","1.64%","0.00%","6,240.8","7,727.4",""
"99","Rinss Aruka","1292833$2.37%1.29m","18.26%","13.42%","2,781.8","3,110.6",""
"97","King Joy","818979$1.50%819.0k","-","4.97%","1,762.2","1,736.3",""
"-","","22095$0.04%22.1k","-","0.00%","47.5","47.5",""
